x,y,z,yaw,velocity,change_flag
0.9577,-3.0593,-0.1,1.6844,1.5,0
0.8695,-2.7128,-0.1,1.6439,1.5,0
0.8578,-2.3996,-0.1,1.6221,1.5,0
0.8339,-2.0796,-0.1,1.4698,1.5,0
0.8909,-1.7652,-0.1,1.2185,1.5,0
1.0426,-1.503,-0.1,0.9348,1.5,0
1.2454,-1.2373,-0.1,0.6031,1.5,0
1.5562,-1.1556,-0.1,0.2892,1.5,0
1.8678,-1.0801,-0.1,0.1405,1.5,0
2.1946,-1.0506,-0.1,0.1317,1.5,0
2.4978,-1.0231,-0.1,0.124,1.5,0
2.7951,-0.9648,-0.1,0.1117,1.5,0
3.1236,-0.9273,-0.1,0.0952,1.5,0
3.4392,-0.9042,-0.1,0.0838,1.5,0
3.782,-0.8797,-0.1,0.0778,1.5,0
4.0927,-0.8367,-0.1,0.0541,1.5,0
4.4334,-0.8214,-0.1,0.0644,1.5,0
4.7512,-0.8,-0.1,0.0589,1.5,0
5.0579,-0.7519,-0.1,0.0695,1.5,0
5.4021,-0.7472,-0.1,0.057,1.5,0
5.749,-0.692,-0.1,0.102,1.5,0
6.0985,-0.6761,-0.1,0.1089,1.5,0
6.4164,-0.6508,-0.1,0.0828,1.5,0
6.7593,-0.6056,-0.1,0.0685,1.5,0
7.0685,-0.5705,-0.1,0.0684,1.5,0
7.3707,-0.5653,-0.1,0.0539,1.5,0
7.6847,-0.5249,-0.1,0.0582,1.5,0
8.0271,-0.5037,-0.1,0.0766,1.5,0
8.339,-0.461,-0.1,0.1028,1.5,0
8.6436,-0.4456,-0.1,0.0884,1.5,0
8.9549,-0.4091,-0.1,0.0951,1.5,0
9.2964,-0.3786,-0.1,0.082,1.5,0
9.6204,-0.3596,-0.1,0.0797,1.5,0
9.9262,-0.3613,-0.1,0.0546,1.5,0
10.2421,-0.3538,-0.1,-0.0838,1.5,0
10.5431,-0.3895,-0.1,-0.2446,1.5,0
10.842,-0.4958,-0.1,-0.4567,1.5,0
11.1484,-0.6962,-0.1,-0.7671,1.5,0
11.3431,-0.9254,-0.1,-1.028,1.5,0
11.5194,-1.2348,-0.1,-1.3534,1.5,0
11.5587,-1.5611,-0.1,-1.5083,1.5,0
11.58,-1.875,-0.1,-1.5167,1.5,0
11.6006,-2.1901,-0.1,-1.5281,1.5,0
11.6172,-2.5193,-0.1,-1.6302,1.5,0
11.5589,-2.8193,-0.1,-1.8221,1.5,0
11.4445,-3.1408,-0.1,-2.0842,1.5,0
11.2655,-3.4045,-0.1,-2.319,1.5,0
11.0115,-3.6162,-0.1,-2.5429,1.5,0
10.7345,-3.7718,-0.1,-2.7242,1.5,0
10.4387,-3.8724,-0.1,-2.8849,1.5,0
10.0953,-3.9225,-0.1,-3.0185,1.5,0
9.7903,-3.9536,-0.1,-3.077,1.5,0
9.478,-3.9739,-0.1,-3.0991,1.5,0
9.1725,-3.9952,-0.1,-3.1091,1.5,0
8.864,-3.9833,-0.1,-3.1043,1.5,0
8.5347,-4.0614,-0.1,-3.057,1.5,0
8.2306,-4.0947,-0.1,-3.0664,1.5,0
7.9006,-4.121,-0.1,-3.0854,1.5,0
7.5932,-4.1491,-0.1,-3.0928,1.5,0
7.2715,-4.1405,-0.1,-3.1002,1.5,0
6.9567,-4.1657,-0.1,-3.1109,1.5,0
6.6302,-4.1773,-0.1,-3.1032,1.5,0
6.2951,-4.2016,-0.1,-3.0817,1.5,0
5.9822,-4.2147,-0.1,-3.089,1.5,0
5.6665,-4.2395,-0.1,-3.0912,1.5,0
5.3441,-4.2768,-0.1,-3.0609,1.5,0
4.9997,-4.2904,-0.1,-3.0686,1.5,0
4.6453,-4.3071,-0.1,-3.086,1.5,0
4.3082,-4.3287,-0.1,-3.0928,1.5,0
3.978,-4.3353,-0.1,-3.1095,1.5,0
3.6634,-4.3478,-0.1,-3.0767,1.5,0
3.3513,-4.3932,-0.1,-3.0608,1.5,0
3.0401,-4.4165,-0.1,-3.0691,1.5,0
2.7169,-4.4116,-0.1,-3.0651,1.5,0
2.4148,-4.4595,-0.1,-3.0721,1.5,0
2.0952,-4.4726,-0.1,3.0255,1.5,0
1.8005,-4.3712,-0.1,2.8187,1.5,0
1.5134,-4.2217,-0.1,2.5353,1.5,0
1.2679,-3.9845,-0.1,2.1473,1.5,0
1.0921,-3.7113,-0.1,1.9915,1.5,0
0.9659,-3.4325,-0.1,1.9157,1.5,0
0.8988,-3.1349,-0.1,1.6404,1.5,0
