x,y,z,yaw,velocity,change_flag
8.2465,-3.3811,0.055,2.0769,3.3328,0
8.1137,-3.1255,0.0712,2.1991,3.4896,0
7.9673,-2.9419,0.055,2.3736,3.3328,0
7.7606,-2.7641,0.0474,2.4958,3.2403,0
7.4873,-2.6285,0.0429,2.7576,3.2403,0
7.1624,-2.5279,0.0412,2.9496,3.2431,0
6.8207,-2.5007,0.0327,3.0892,3.2655,0
6.4717,-2.5045,0.0174,-3.0771,3.2795,0
6.1329,-2.5286,0.0288,-3.0857,3.2655,0
5.7832,-2.5533,0.0026,-3.0927,3.3188,0
5.4398,-2.5633,0.0176,-3.1024,3.2907,0
5.1283,-2.5706,0.0093,-3.1111,3.3047,0
4.7933,-2.5776,-0.0234,-3.1145,3.3047,0
4.4629,-2.5902,-0.0122,-3.1197,3.0807,0
4.1256,-2.6029,-0.0231,-3.1291,3.0807,0
3.7839,-2.6001,-0.0106,3.1376,3.1367,0
3.4481,-2.6178,-0.0234,3.1765,3.1283,0
3.1461,-2.6939,-0.0088,3.4907,3.1031,0
2.8591,-2.8834,0.0037,3.927,3.1199,0
2.6326,-3.1464,0.0035,4.0841,3.1451,0
2.473,-3.4121,-0.0307,4.3459,3.1115,0
2.3257,-3.8744,-0.0438,4.7647,-3.2151,0
2.3047,-3.5264,-0.0713,4.7647,-2.585,0
2.2887,-3.1965,-0.0652,4.7124,-1.8792,0
2.289,-2.906,-0.0488,4.7298,-1.0,0
2.2951,-2.5895,-0.0275,4.7124,-0.885,0
2.2963,-2.3255,-0.0006,4.66,-2.0725,0
2.3069,-2.0493,-0.0344,4.7298,-2.7726,0
2.3156,-1.7535,-0.0453,4.6949,-2.9351,0
2.3223,-1.4848,-0.0673,4.7124,-2.9603,0
2.3347,-1.184,-0.0649,4.6949,-2.9155,0
2.3363,-0.848,-0.0993,4.7124,-2.9799,0
2.3429,-0.5448,-0.0466,4.7298,-3.0611,0
2.436,-0.8452,-0.0537,5.0964,3.0695,0
2.5838,-1.1567,-0.0405,5.3058,3.0807,0
2.7841,-1.4285,-0.048,5.4454,3.1395,0
3.0169,-1.6647,-0.0583,5.5327,3.2907,0
3.2965,-1.8697,-0.0465,5.7945,3.3047,0
3.6114,-1.9739,-0.0206,6.1436,3.3608,0
3.9775,-2.0208,-0.0005,0.0239,3.3047,0
4.3411,-2.0206,0.01,0.0208,3.3328,0
4.7189,-2.0093,0.0008,0.0106,3.3328,0
5.0726,-1.9957,0.0171,0.0059,3.3328,0
5.4526,-1.9794,0.0158,0.0499,3.3328,0
5.8241,-1.9683,0.0064,0.0619,3.3468,0
6.1816,-1.9394,0.033,0.0483,3.3075,0
6.5423,-1.9192,0.0171,0.0402,3.3047,0
6.8912,-1.9028,0.0347,0.0524,3.3244,0
7.2501,-1.8603,0.0298,0.1195,3.3328,0
7.5576,-1.7688,0.0332,0.4538,3.3328,0
7.8185,-1.6073,0.0234,0.7156,3.3468,0
8.0366,-1.37,0.0371,0.9599,3.5036,0
8.0134,-2.578,0.0412,1.7279,3.2431,0
