x,y,z,yaw,velocity,change_flag
9.8634,-4.1431,0.0913,-2.9594,3.582,0
9.5874,-4.1886,0.0913,-2.9594,3.582,0
9.2823,-4.2708,0.0981,3.3685,3.5456,0
8.9846,-4.3431,0.0902,3.3685,3.582,0
8.6344,-4.4346,0.0755,3.4208,3.5064,0
8.2917,-4.5274,0.0804,3.4383,3.4728,0
7.9368,-4.6295,0.0712,3.4034,3.4896,0
7.6068,-4.7148,0.055,3.3685,3.3328,0
7.2658,-4.7703,0.0474,3.3161,3.2403,0
6.9177,-4.8065,0.0429,3.2114,3.2403,0
6.5688,-4.8204,0.0412,-3.1179,3.2431,0
6.1999,-4.8225,0.0327,3.1067,3.2655,0
5.8361,-4.8057,0.0174,3.0892,3.2795,0
5.4788,-4.77,0.0288,3.0194,3.2655,0
5.1262,-4.7093,0.0026,2.9147,3.3188,0
4.7837,-4.6381,0.0176,2.9845,3.2907,0
4.4431,-4.5982,0.0093,3.0543,3.3047,0
4.1124,-4.5757,-0.0234,3.0892,3.3047,0
3.8084,-4.5708,-0.0122,3.1067,3.0807,0
3.4892,-4.5705,-0.0231,3.1067,3.0807,0
3.214,-4.5619,-0.0106,3.0543,3.1367,0
2.9349,-4.5387,-0.0234,3.0194,3.1283,0
2.6705,-4.4838,-0.0088,2.8835,3.1031,0
