x,y,z,yaw,velocity,change_flag
9.8634,-4.1431,0.0913,-2.9594,3.582,0
9.5152,-4.1487,0.0981,3.0543,3.5456,0
9.2151,-4.0926,0.0902,2.9496,3.582,0
8.9162,-4.0129,0.0755,2.7751,3.5064,0
8.6242,-3.8714,0.0804,2.4958,3.4728,0
8.4224,-3.6441,0.0712,2.1118,3.4896,0
8.2465,-3.3811,0.055,2.0769,3.3328,0
8.1111,-3.0771,0.0474,1.9548,3.2403,0
8.0444,-2.8287,0.0429,1.7977,3.2403,0
8.0134,-2.578,0.0412,1.7279,3.2431,0
7.9911,-2.3317,0.0327,1.693,3.2655,0
7.98,-2.0351,0.0174,1.5533,3.2795,0
8.0113,-1.6995,0.0298,1.4312,3.3328,0
8.0717,-1.3647,0.0332,1.3439,3.3328,0
8.2123,-1.046,0.0234,1.0297,3.3468,0
8.3779,-0.8161,0.0371,0.9599,3.5036,0
8.618,-0.5828,0.0289,0.6981,3.5652,0
8.9115,-0.3983,0.0419,0.5585,3.4812,0
9.2569,-0.2731,0.0641,0.2094,3.512,0
9.6222,-0.2515,0.0579,0.0175,3.4644,0
9.989,-0.2603,0.0954,0,3.5288,0
10.3269,-0.3141,0.08,6.1436,3.512,0
10.6171,-0.4772,0.1059,-0.568,3.5204,0
