x,y,z,yaw,velocity,change_flag
10.3375,-0.3352,0.08,-0.4633,3.512,0
10.6171,-0.4772,0.1059,-0.568,3.5204,0
10.8813,-0.6702,0.1239,-0.679,3.5596,0
11.0551,-0.8148,0.0887,-0.7844,3.5904,0
11.1944,-0.9848,0.096,-0.8959,3.5176,0
11.3732,-1.2122,0.097,-1.0366,3.5512,0
11.4988,-1.4797,0.0885,-1.1766,3.512,0
11.6201,-1.7783,0.1015,-1.3223,3.568,0
11.6496,-2,0.081,-1.4325,3.4868,0
11.68,-2.1968,0.0877,-1.5441,3.54,0
11.6588,-2.4192,0.0925,-1.6509,3.526,0
11.6481,-2.5877,0.1102,-1.7608,3.5568,0
11.6216,-2.8025,0.124,-1.8686,3.5568,0
11.5574,-2.9829,0.1227,-1.9799,3.5148,0
11.4732,-3.1668,0.1178,-2.087,3.5232,0
11.3568,-3.318,0.0914,-2.1902,3.5064,0
11.244,-3.4707,0.0924,-2.2998,3.498,0
11.0877,-3.5746,0.0823,-2.4074,3.5484,0
10.9402,-3.7221,0.1001,-2.5174,3.5092,0
10.7671,-3.8339,0.0999,-2.6226,3.5288,0
10.4985,-3.9788,0.1053,-2.765,3.5176,0
10.1972,-4.0843,0.0974,-2.8818,3.526,0
9.8634,-4.1431,0.0913,-2.9594,3.582,0
9.5034,-4.2117,0.0981,-3.0543,3.5456,0
9.1642,-4.2367,0.0902,-3.1156,3.582,0
8.8024,-4.2612,0.0755,-3.1039,3.5064,0
8.4005,-4.277,0.0804,-3.1114,3.4728,0
8.0887,-4.302,0.0712,-3.1212,3.4896,0
7.7857,-4.3187,0.055,-3.117,3.3328,0
7.4164,-4.3287,0.0474,-3.1096,3.2403,0
7.018,-4.3432,0.0429,-3.1206,3.2403,0
6.6304,-4.3553,0.0412,-3.1179,3.2431,0
6.2575,-4.3844,0.0327,-3.0744,3.2655,0
5.8772,-4.4007,0.0174,-3.0771,3.2795,0
5.5071,-4.4248,0.0288,-3.0857,3.2655,0
5.1198,-4.4495,0.0026,-3.0927,3.3188,0
4.7451,-4.4783,0.0176,-3.1024,3.2907,0
4.3961,-4.4856,0.0093,-3.1111,3.3047,0
4.0924,-4.4926,-0.0234,-3.1145,3.3047,0
3.7307,-4.5115,-0.0122,-3.1197,3.0807,0
3.3997,-4.5367,-0.0231,-3.1291,3.0807,0
3.1893,-4.5527,-0.0106,3.1376,3.1367,0
2.9349,-4.5202,-0.0234,3.013,3.1283,0
2.6705,-4.4838,-0.0088,2.8835,3.1031,0
2.396,-4.3916,0.0037,2.7327,3.1199,0
2.1507,-4.2916,0.0035,2.5962,3.1451,0
1.9536,-4.1568,-0.0307,2.4712,3.1115,0
1.7264,-3.974,-0.0295,2.347,3.0611,0
1.5645,-3.7713,-0.0466,2.2168,3.0611,0
1.4259,-3.534,-0.0993,2.0755,2.9799,0
1.2804,-3.2658,-0.0649,1.9903,2.9155,0
1.1444,-2.8972,-0.0673,1.8906,2.9603,0
1.0623,-2.5564,-0.0453,1.7665,2.9351,0
1.019,-2.3139,-0.0344,1.6429,2.7726,0
1.0221,-2.0213,-0.0006,1.5426,2.0725,0
1.0317,-1.7053,-0.0275,1.5024,0.885,0
1.0707,-1.3299,-0.0488,1.2915,0,0
1.1796,-1.0712,-0.0652,1.0996,1.8792,0
1.3493,-0.8294,-0.0713,0.7679,2.585,0
1.5959,-0.6282,-0.0438,0.576,3.2151,0
1.8102,-0.501,-0.0537,0.5061,3.0695,0
2.0831,-0.437,-0.0405,0.0551,3.0807,0
2.4274,-0.446,-0.048,0.0534,3.1395,0
2.8041,-0.4131,-0.0583,0.0506,3.2907,0
3.1964,-0.3803,-0.0465,0.0402,3.3047,0
3.5614,-0.3655,-0.0206,0.0359,3.3608,0
3.9587,-0.3436,-0.0005,0.0239,3.3047,0
4.3223,-0.3246,0.01,0.0208,3.3328,0
4.7001,-0.3258,0.0008,0.0106,3.3328,0
5.0851,-0.2997,0.0171,0.0059,3.3328,0
5.4589,-0.3147,0.0158,0.0499,3.3328,0
5.8429,-0.2911,0.0064,0.0619,3.3468,0
6.144,-0.2685,0.033,0.0483,3.3075,0
6.536,-0.2483,0.0171,0.0402,3.3047,0
6.9475,-0.2319,0.0347,0.0524,3.3244,0
7.2689,-0.1768,0.0298,0.1195,3.3328,0
7.5826,-0.1354,0.0332,0.1057,3.3328,0
7.9624,-0.099,0.0234,0.0956,3.3468,0
8.3308,-0.0745,0.0371,0.089,3.5036,0
8.6978,-0.0295,0.0289,0.0336,3.5652,0
9.0119,-0.0155,0.0419,-0.0621,3.4812,0
9.3261,-0.0552,0.0641,-0.1554,3.512,0
9.6347,-0.0783,0.0579,-0.2449,3.4644,0
9.9761,-0.197,0.0954,-0.3449,3.5288,0
10.3375,-0.3352,0.08,-0.4633,3.512,0
